min_cluster_size,coherence_score
5,0.47598283778674055
6,0.4874350891067701
7,0.4487392610580046
8,0.42912159413494205
9,0.46349601966695714
10,0.4567956262617262
11,0.47238716593035074
12,0.4467182987960145
13,0.48684388187566713
14,0.4315597951731373
